Borough and Sub-Borough Area,average
101,0.578045627609268
102,0.589923165330159
103,0.6219297452892859
104,0.6306821147209678
105,0.5937051834885244
106,0.5569472483435869
107,0.5415699913798458
108,0.4891843895438939
109,0.5226604850064096
110,0.5192271515960286
201,0.4991017263722528
202,0.5336973433602694
203,0.5640480177643105
204,0.5648287480931522
205,0.5265953424523067
206,0.5155261969025366
207,0.5244589250140664
208,0.5966254399166849
209,0.625602229155791
210,0.4960593003480301
211,0.4812297212952454
212,0.5247683712377665
213,0.47996865195513827
214,0.5774125760850256
215,0.4738032227595857
216,0.58205639394746
217,0.5624924926140031
218,0.5026289184671431
301,0.5099534473041396
302,0.5704203097567749
303,0.5000300373731971
304,0.4692273315832528
305,0.5059145204926027
306,0.47838307346109155
307,0.6032735346733973
308,0.5960157610187296
309,0.5628726651786262
310,0.6078120651074544
401,0.5040285392365106
402,0.5093857359220814
403,0.5074190450899327
404,0.5031224888360959
405,0.4707730595763065
406,0.4708435206322076
407,0.47171833466571605
408,0.4807450189124754
409,0.4779423258562687
410,0.4524034467544788
411,0.4533011374461155
412,0.4940481992405153
413,0.47028435770537863
414,0.4826326948143355
501,0.5025232850376556
502,0.44894991650170873
503,0.42865092283124734
