Code,Sub-Borough Name
101,Mott Haven / Hunts Point
102,Morrisania / East Tremont
103,Highbridge / S. Concourse
104,University Heights / Fordham
105,Kingsbridge Heights / Mosholu
106,Riverdale / Kingsbridge
107,Soundview / Parkchester
108,Throgs Neck / Co-op City
109,Pelham Parkway
110,Williamsbridge / Baychester
201,Williamsburg / Greenpoint
202,Brooklyn Heights / Fort Greene
203,Bedford Stuyvesant
204,Bushwick
205,East New York / Starret City
206,Park Slope / Carroll Gardens
207,Sunset Park
208,North Crown Heights / Prospect Heights
209,South Crown Heights
210,Bay Ridge
211,Bensonhurst
212,Borough Park
213,Coney Island
214,Flatbush
215,Sheepshead Bay / Gravesend
216,Brownsville / Ocean Hill
217,East Flatbush
218,Flatlands / Canarsie
301,Greenwich Village / Financial District
302,Lower East Side / Chinatown
303,Chelsea / Clinton / Midtown
304,Stuyvesant Town / Turtle Bay
305,Upper West Side
306,Upper East Side
307,Morningside Heights / Hamilton Heights
308,Central Harlem
309,East Harlem
310,Washington Heights / Inwood
401,Astoria
402,Sunnyside / Woodside
403,Jackson Heights
404,Elmhurst / Corona
405,Middle Village / Ridgewood
406,Forest Hills / Rego Park
407,Flushing / Whitestone
408,Hillcrest / Fresh Meadows
409,Kew Gardens / Woodhaven
410,Howard Beach / S. Ozone Park
411,Bayside / Little Neck
412,Jamaica
413,Bellerose / Rosedale
414,Rockaways
501,North Shore
502,Mid-Island
503,South Shore
